date,blue_full_60,blue_dashed_60,orange_full_60,orange_dashed_60,purple_full_60,purple_dashed_60,blue_full_40,blue_dashed_40,orange_full_40,orange_dashed_40,purple_full_40,purple_dashed_40,reality_report,reality
2021-04-23,1560,1658,1560,1658,1560,1658,1560,1658,1560,1658,1560,1658,1560,1483
2021-04-24,1541,1649,1541,1649,1541,1649,1541,1649,1541,1649,1541,1649,1541,1451
2021-04-25,1479,1636,1479,1636,1479,1636,1479,1636,1479,1636,1479,1636,NA,1416
2021-04-26,1459,1625,1459,1625,1459,1625,1459,1625,1459,1625,1459,1625,NA,1376
2021-04-27,1446,1625,1446,1625,1446,1625,1446,1625,1446,1625,1446,1625,NA,1333
2021-04-28,1414,1607,1414,1607,1414,1607,1414,1607,1414,1607,1414,1607,NA,1287
2021-04-29,1386,1583,1386,1583,1386,1583,1386,1583,1386,1583,1386,1583,NA,1240
2021-04-30,1344,1561,1344,1561,1344,1561,1344,1561,1344,1561,1344,1561,NA,1193
2021-05-01,1323,1538,1323,1538,1323,1538,1323,1538,1323,1538,1323,1538,NA,1146
2021-05-02,1296,1542,1296,1542,1296,1542,1296,1542,1296,1542,1296,1542,NA,1099
2021-05-03,1278,1523,1278,1523,1278,1523,1278,1523,1278,1523,1278,1523,NA,1052
2021-05-04,1260,1471,1260,1471,1260,1471,1260,1471,1260,1471,1260,1471,NA,1006
2021-05-05,1203,1446,1203,1446,1203,1446,1204,1446,1204,1446,1204,1446,NA,961
2021-05-06,1185,1438,1185,1438,1185,1438,1194,1438,1194,1438,1194,1438,NA,917
2021-05-07,1165,1416,1165,1416,1165,1416,1171,1416,1171,1416,1171,1416,NA,876
2021-05-08,1134,1393,1134,1393,1134,1393,1144,1393,1144,1393,1144,1393,NA,836
2021-05-09,1088,1373,1088,1373,1088,1373,1116,1373,1116,1373,1116,1373,NA,797
2021-05-10,1060,1362,1060,1362,1060,1362,1067,1362,1067,1362,1067,1362,NA,760
2021-05-11,1025,1335,1025,1335,1025,1335,1037,1335,1037,1335,1037,1335,NA,725
2021-05-12,998,1317,998,1317,998,1317,1010,1317,1010,1317,1010,1317,NA,692
2021-05-13,971,1309,971,1309,971,1309,986,1309,986,1309,986,1309,NA,661
2021-05-14,945,1260,945,1260,945,1260,956,1260,956,1260,956,1260,NA,632
2021-05-15,915,1211,915,1211,915,1211,926,1211,926,1211,926,1211,NA,606
2021-05-16,890,1204,890,1204,890,1204,909,1204,909,1204,909,1204,NA,582
2021-05-17,871,1190,871,1190,871,1190,883,1190,883,1190,883,1190,NA,559
2021-05-18,850,1168,850,1168,850,1172,861,1168,861,1168,861,1168,NA,538
2021-05-19,832,1152,832,1180,832,1155,839,1152,839,1180,839,1180,NA,518
2021-05-20,814,1159,814,1158,814,1156,821,1159,821,1158,821,1158,NA,500
2021-05-21,795,1131,795,1161,795,1143,795,1131,829,1161,788,1161,NA,484
2021-05-22,786,1102,786,1168,786,1134,778,1102,819,1168,781,1168,NA,468
2021-05-23,773,1073,827,1176,763,1124,756,1044,806,1176,760,1176,NA,454
2021-05-24,764,1044,831,1184,768,1113,727,1030,797,1184,741,1034,NA,439
2021-05-25,757,1045,833,1191,767,1104,704,1015,790,1191,726,1026,NA,425
